city,classe_energie,description,ges,last_updated,posted_on,price,price_surface,rooms,siret_agence,surface,time_online,title,type,url,zipcode
Saint-Egrève,,"parcelle de terrain,Chez 1proimmo,Sur la commune de Saint Martin de Vinoux, à la limite de Saint Egrève  proche toutes commodités, belle parcelle de terrain plate de 200 m²,viabilité sur place.,PRIX: 159 000 Euros FAI- Honoraires à la charge du vendeur,cette annonce a été publiée par un agent commercial,Contact: Francis 06 01 23 64 77.,Retrouvez tous nos bien sur notre site 1proimmo,Référence annonce : ag125-agence2307-162,Les honoraires sont à la charge du vendeur",G,1563917552.330239,1563862500.0,159000,795.0,,,200,0.6371797481372401,Terrain 200 m² Saint Egreve,Terrain,https://www.leboncoin.fr/ventes_immobilieres/1649844373.htm/,38120
Saint-Egrève,,"Saint-Egréve, LA MONTA, maison de village, beau potentiel, avec garage double, au calme, combles aménageables,Au cœur du centre bourg LA MONTA, maison de village, ressortant à 77 m² env. avec fort potentiel d'agrandissement avec ses combles aménageables, 2 grandes chambres, cuisine ouverte sur salon offrant une belle pièce de vie donnant au SUD/EST. Chauffage individuel gaz, avec garage double en sous-sol semi-enterré, située au calme tout en étant proche des commodités. Travaux  à prévoir. EXCLUSIVITE.,Référence annonce : 3332-4056601,Les honoraires sont à la charge du vendeur",,1563917553.244329,1560504240.0,174000,2259.7402597402597,4,53932769200015,77,39.50594032788166,Maison de village 4 pièces 77 m²,Maison,https://www.leboncoin.fr/ventes_immobilieres/1603178566.htm/,38120
Saint-Egrève,E,"SAINT EGREVE,Secteur calme et résidentiel, très belle propriété de 260 m2 habitable comprenant un premier logement de 6 pièces + cuisine équipée et un deuxième logement de 4 pièces + cuisine. Le tout élevé sur grand garages et pièces annexes. Magnifique terrain arboré de 2000 m2. Nouveauté exclusive à découvrir ! Prix : 695 000EUR BV IMMOBILIER 04 76 40 60 33 / 06 40 59 40 02,Référence annonce : 2_845,Les honoraires sont à la charge du vendeur",E,1563917554.525918,1560521520.0,695000,2482.1428571428573,12,82146694300031,280,39.30595516108804,Propriété 12 pièces 280 m²,Maison,https://www.leboncoin.fr/ventes_immobilieres/1608914181.htm/,38120
Saint-Egrève,C,"Saint-Egrève 11 rue Lieutenant Fiancey quartier Prédieu,Maison années 80 au calme sur terrain ensoleillé plat et clos de 752m2 avec arbres fruitiers, 250m arrêt TRAM E proche à pied écoles, collège, parc avec étang, commerces de proximité et zone industrielle,Proche accès autoroute et presqu'île scientifique de Grenoble Europole,Exposition salon et cuisine sud,Composée de 2 appartements de 80 m2 type 4 chacun, RDC et 1er étage (RDC avec grand garage de 30m2 avec mezzanine et terrain),Dans chaque appartement: hall, cuisine, grand salon, 2 chambres, SDB baignoire, WC,Chauffage électrique et eau chaude par ballon,Prévoir quelques travaux de rénovation intérieure et extérieure et électricité au RDC,Logement rdc libre d'occupation  1er ét. actuellement loué bail jusque fin oct 2021,Fenêtres RDC et porte garage neufs nov 2018,340000€ (pas d'agence merci, nous gagnerons tous du temps),Renseignements complémentaires ou pour visiter contact email ou 0699128174",C,1563917556.063185,1560620040.0,340000,2125.0,6,,160,38.16569517575204,Maison 2 logements de 80 m2 type 4 sur 752m2,Maison,https://www.leboncoin.fr/ventes_immobilieres/1632753838.htm/,38120
Saint-Egrève,C,"Maison très bon état, au calme, proche toutes commodités, 4 chambres, cadre de vie agréable,SAINT-EGREVE: Maison mitoyenne, sans gêne et sur un seul côté, 120 m², originale dans sa distribution, très bon état, cuisine équipée et aménagée à l'EST, ouverte sur coin repas et jardin, salon avec poêle cheminée au SUD/OUEST, 4 chambres, 2 salles de bains, garage avec mezzanine, cave, salle de jeux, beau jardin de 400m² env. au calme, piscine hors-sol, secteur FIANCEY, proche toutes commodités et Tram.,Référence annonce : 3384-4109777,Les honoraires sont à la charge du vendeur",D,1563917557.215743,1560801480.0,348000,2924.36974789916,5,53932769200015,119,36.065708515544735,Maison 5 pièces 119 m²,Maison,https://www.leboncoin.fr/ventes_immobilieres/1633877676.htm/,38120
Saint-Egrève,,"Villa neuve sur 1036m², St Egreve,St Egreve, Rue de Champaviotte, magnifique projet de construction d'une villa étage 96m² +16m² à aménager en combles. Projet personnalisable, 3 ou 4 chambres, sur grande parcelle de terrain 1036m² env.,Budget global à partir de 355000 euros. Nous consulter pour renseignements complémentaires.,Référence annonce : VI38-677517",,1563917558.45553,1560871740.0,355000,3697.9166666666665,4,35080539600610,96,35.25252842048528,Maison 4 pièces 96 m²,Maison,https://www.leboncoin.fr/ventes_immobilieres/1634197073.htm/,38120
Fontanil-Cornillon,,"FONTANIL CORNILLON,Secteur calme et résidentiel, proche de toutes les commodités, spacieuse villa individuelle de 180m2 comprenant 7 pièces + cuisine équipée + véranda de 40 m2avec four à pizzas, 2 salles de bains, 4 chambres + 2 grandes pièces annexes, nombreux rangements, grand garage, magnifique piscine 12 x 5, le tout sur un joli terrain clos de 1000m2 très bien exposé. Nouveauté exclusive à découvrir ! Prix : 560 000EUR BV IMMOBILIER 04 76 40 60 33 / 06 40 59 40 02,Référence annonce : 2_864,Les honoraires sont à la charge du vendeur",,1563917559.850313,1561103700.0,560000,3111.1111111111113,7,82146694300031,180,32.56782234158505,Villa 7 pièces 180 m²,Maison,https://www.leboncoin.fr/ventes_immobilieres/1635464871.htm/,38120
Saint-Egrève,,"ST EGREVE - Belle opportunité : maison mitoyenne lumineuse de plein pied (norme PMR) d'environ 100m2 à rénover. Toiture, ravalement, réagréage, écoulements et double vitrage neufs, le reste est à terminer. Chauffage individuel gaz ou électrique. Possibilité de créer un étage. Jardin de 220m2, vendu avec place de parking privatif. Au calme, proche école, transports et commodités dans copropriété neuve de caractère (35 lots) avec parking collectif. RARE,Référence annonce : VMA80003630,Les honoraires sont à la charge du vendeur,A propos de la copropriété :,Pas de procédure en cours",,1563917561.260325,1561233360.0,249000,2490.0,6,31664354300044,100,31.067144216724017,Maison 6 pièces 100 m²,Maison,https://www.leboncoin.fr/ventes_immobilieres/1554887038.htm/,38120
Saint-Egrève,D,"Maison individuelle 190 m2 habitables - entièrement rénovée et modernisée sur terrain de 993 m2 avec de belles prestations.,+ T2 individuel meublé loué entièrement refait avec clim (650€ charges comprises),Orientation sud-ouest avec son entrée indépendante.,Maison;,RDC : Grand salon-salle à manger ouvert sur cuisine équipée moderne de 55m2 , cellier 18 m2,Etage : 4 chambres (dont 1 suite parentale avec salle d’eau et dressing 18m2)- mezzanine - 2 salles d’eau - Grande terrasse, jardin potage, piscine hors sol.,Garage 40 m2,Jardin clos et arboré – Abris de jardin – Carport 2 véhicules,Aux portes du tram et à proximité des commerces et des écoles – Quartier Prédieu,Classe énergie : D,Radiateurs a inertie chbres – VMC double flux et chauffe-eau thermodynamiques, chauffage électr. au sol au rdc, poêle à bois , clim réversible a l’étage – Aspiration centralisée dans toute la maison.,Agences : s'abstenir.",B,1563917562.95157,1561309140.0,498000,2621.0526315789475,7,,190,30.190080457986504,MAISON 190m2 +T2 en location,Maison,https://www.leboncoin.fr/ventes_immobilieres/1633221369.htm/,38120
Fontanil-Cornillon,,"Voreppe proche Fontanil - Propriété 220m2 - Terrain 1329 m2,Voreppe, très proche du Fontanil-Cornillon, très belle propriété comprenant une maison d'habitation de 220m2 de 8 pièces + cuisine équipée, une jolie grange en pierres, un garage double, le tout sur un maginifique terrain clos et arboré bien exposé de 1329m2 avec superbe piscine et grande terrasse. Nouveauté exclusive à découvrir. Prix : 670 000 EUR - BV IMMOBILIER - 04 76 40 60 33 - 06 40 59 40 02,Référence annonce : 2_837,Les honoraires sont à la charge du vendeur",,1563917564.22534,1561973160.0,670000,3045.4545454545455,8,82146694300031,220,22.5046785340265,Propriété 8 pièces 220 m²,Maison,https://www.leboncoin.fr/ventes_immobilieres/1582257389.htm/,38120
